agenda,dkod,nazev,metodika
18,D18.5.1,Počet kontrol,"Za období sledovaného roku. Zdroj dat: Sestava. Název reportu: Kontroly podnikatelů. Informace ke zpracování reportu: U výsledné sestavy aplikovat automatický filtr u sloupce „Typ Kontroly“ na řetězec „Plánovaná kontrola s oznámením“, „Záznam provedené kontroly“ a „Následná kontrola“. U sloupce ""Kategorizace místa kontroly"" zrušit řetezec „Na jiném úřadě"" a ostatní výběr ponechat beze změny. Výsledný počet kontrol je součet záznamů odpovídajících zvoleným filtrům. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do), kontrolované subjekty nastavit na ""vše"", ostatní pole ponechat bez změny."
18,D18.5.1.1,Součet předmětů kontrol,"Za období sledovaného roku. Zdroj dat: Sestava. Název reportu: Kontroly podnikatelů. Informace ke zpracování reportu: U výsledné sestavy aplikovat automatický filtr u sloupce „Typ Kontroly“ na řetězec „Plánovaná kontrola s oznámením“, „Záznam provedené kontroly“ a „Následná kontrola“, zrušit řetězec „Prázdné"" u sloupce ""Text předmětu kontroly"". Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do), kontrolované subjekty nastavit na ""vše"", v Seznamu výstupních hodnot - údaje o kontrole zaškrtnout ""Předmět kontroly"", ostatní pole ponechat bez změny. U výsledné sestavy sečtěte všechny řádky."
18,D18.5.2,"Počet úkonů před zahájením kontroly, včetně záznamů","Za období sledovaného roku. Zdroj dat: Sestava. Název reportu: Kontroly podnikatelů. Informace ke zpracování reportu: U výsledné sestavy aplikovat automatický filtr u sloupce „Typ Kontroly“ na řetězec „Místní zjištění“ a ""Úřední záznamy"". Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do), ostatní pole ponechat bez změny."
18,D18.5.3,Počet uložených pokut příkazem na místě v ks,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Pokuty podle účastníka a typu. Informace ke zpracování reportu: Hodnota sloupce „Celkem“, typ pokuty „příkazový blok“. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do)."
18,D18.5.4,Objem uložených pokut příkazem na místě celkem v tis. Kč,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Pokuty podle účastníka a typu. Informace ke zpracování reportu: Hodnota sloupce „Výše“, typ pokuty „bloková pokuta“. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do)."
18,D18.5.5,Počet uložených pokut v přestupkovém řízení v ks,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Pokuty podle účastníka a typu. Informace ke zpracování reportu: Hodnota sloupce „Celkem“, typ pokuty „pokuta uložená ve správním řízení“, sečíst pouze pokuty uložené živnostenským úřadem. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Do roku 2007 sledováno včetně pořádkových pokut, od roku 2008 vyplňujeme pouze dle Statistiky popsané výše, která pořádkové pokuty neobsahuje."
18,D18.5.6,Objem uložených pokut v přestupkovém řízení celkem v tis. Kč,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Pokuty podle účastníka a typu. Informace ke zpracování reportu: Hodnota sloupce „Výše“, typ pokuty „pokuta uložená ve správním řízení“, sečíst pouze pokuty uložené živnostenským úřadem. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Do roku 2007 sledováno včetně pořádkových pokut, od roku 2008 vyplňujeme pouze dle Statistiky popsané výše, která pořádkové pokuty neobsahuje."
18,D18.6,Počet registračních zaměstnanců - pracovních úvazků,"Úvazky pro agendu celkem stanovte k 31.12. sledovaného roku - POUZE ÚVAZKY PRACOVNÍKŮ REGISTRACE. Ostatní zaměstnance mimo registraci, kontrolu a zem. podnikatele uveďte v řádku Zaměstnanci ostatní. POZOR ZMĚNA OD ROKU 2012."
18,D18.7,Počet kontrolních zaměstnanců - pracovních úvazků,"Úvazky pro agendu celkem stanovte k 31.12. sledovaného roku POUZE ÚVAZKY PRACOVNÍKŮ KONTROLY. Ostatní zaměstnance mimo registraci, kontrolu a zem. podnikatele uveďte v řádku Zaměstnanci ostatní. POZOR ZMĚNA OD ROKU 2012."
18,D18.8,Počet zaměstnanců - pracovních úvazků pro agendu zemědělského podnikatele,"Úvazky pro agendu celkem stanovte k 31.12. sledovaného roku POUZE ÚVAZKY PRACOVNÍKŮ AGENDY ZEMĚDĚLSKÉHO PODNIKATELE. Ostatní zaměstnance mimo registraci, kontrolu a zem. podnikatele uveďte v řádku Zaměstnanci ostatní. POZOR ZMĚNA OD ROKU 2012."
