code,name,agenda,kind,unit
D17.0,"Počet obcí, za které úřad projednává přestupky dle zákona 251/2016 Sb. a korespondující přestupky dle předchozích předpisů na základě rozhodnutí Krajského úřadu ve věci převodu výkonu této agendy",17,dkod,
D17.0.1,"Počet obyvatel obcí, za které úřad projednává přestupky na základě rozhodnutí Krajského úřadu ve věci převodu výkonu této agendy dle údaje v řádku D17.0",17,dkod,
D17.1,"Počet uzavřených veřejnoprávních smluv, jejichž předmětem je řešení přestupků dle zákona 251/2016 Sb. a korespondujících přestupků dle předchozích předpisů",17,dkod,
D17.1.1,"Počet obyvatel obcí, s nimiž jsou uzavřeny veřejnoprávní smlouvy dle údaje v řádku D17.1",17,dkod,
D17.2.1,Počet oznámených skutkových podstat dle zákona 251/2016 Sb. a korespondujících skutkových podstat dle předchozích předpisů,17,dkod,
D17.2.2,Počet přestupků vyřízených příkazem na místě dle zákona 251/2016 Sb. a korespondujících skutkových podstat dle předchozích předpisů,17,dkod,
D17.2.3,Počet přestupků vyřízených příkazem dle zákona 251/2016 Sb.a korespondujících skutkových podstat dle předchozích předpisů,17,dkod,
D17.2.4,Počet přestupků vyřízených rozhodnutím dle zákona 251/2016 Sb. a korespondujících skutkových podstat dle předchozích předpisů,17,dkod,
D17.2.5,Počet odložených přestupků dle zákona 251/2016 Sb. a korespondujících skutkových podstat dle předchozích předpisů,17,dkod,
D17.2.6,Počet odvolání proti rozhodnutím o přestupcích dle zákona 251/2016 Sb. a proti rozhodnutím o korespondujících přestupcích dle předchozích předpisů,17,dkod,
D17.3.1,"Počet oznámených skutkových podstat OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb.",17,dkod,
D17.3.2,"Počet OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb. vyřízených příkazem na místě",17,dkod,
D17.3.3,"Počet OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb. vyřízených příkazem",17,dkod,
D17.3.4,"Počet OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb. vyřízených rozhodnutím",17,dkod,
D17.3.5,"Počet odložených OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb.",17,dkod,
D17.3.6,"Počet odvolání v rámci OSTATNÍCH PŘESTUPKŮ dle zvláštních právních předpisů, které projednává oddělení nebo útvar projednávající přestupky dle zákona 251/2016 Sb.",17,dkod,
D17.4,"Objem uložených pokut v tis. Kč včetně nákladů řízení dle zákona 251/2016 Sb., dle korespondujících skutkových podstat dle předchozích předpisů a dle ostatních právních předpisů dle řádků výše",17,dkod,
D17.5,Projednáváte přestupky v přestupkové komisi?,17,dkod,
D17.6,Počet zaměstnanců - pracovních úvazků,17,dkod,
D18.1,Počet subjektů (držitelů živnostenského oprávnění),18,dkod,
D18.2,Počet živnostenských oprávnění,18,dkod,
D18.3.1,"Počet podnikatelů, kterým vzniklo ve sledovaném roce nové živnostenské oprávnění",18,dkod,
